# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
449.3000 M215 2568421 1 38.4431 dtn1_8 ADB2 139 N dtn1_8->ADB2
460.0000 M163 2656381 1 165.8267 dtn1_8 ADB2 137 N dtn1_8->ADB2
467.6000 M27 1885202 2 422.7042 dtn1_7 ADB2 132 N dtn1_7->dtn1_8->ADB2
475.7000 M229 2015476 1 39.8517 dtn1_8 ADB2 139 N dtn1_8->ADB2
481.1000 M170 1337760 1 162.1068 dtn1_8 ADB2 137 N dtn1_8->ADB2
490.0000 M243 2206440 1 22.1972 dtn1_8 ADB2 139 N dtn1_8->ADB2
499.8000 M217 2431603 1 81.0664 dtn1_8 ADB2 138 N dtn1_8->ADB2
511.8000 M55 2996688 2 413.2797 dtn1_7 ADB2 133 N dtn1_7->dtn1_8->ADB2
517.9000 M240 1004630 4 53.0420 dtn2_15 ADB2 139 N dtn2_15->ADB3->WIFI_5->WIFI_4->ADB2
519.0000 M209 2675404 4 116.5095 dtn2_15 ADB2 138 N dtn2_15->ADB3->WIFI_5->WIFI_4->ADB2
527.5000 M153 2101798 1 242.9095 dtn1_10 ADB2 135 N dtn1_10->ADB2
534.9000 M88 1828271 1 375.7877 dtn1_10 ADB2 133 N dtn1_10->ADB2
542.4000 M181 1857726 1 194.8437 dtn1_10 ADB2 136 N dtn1_10->ADB2
549.8000 M152 1826370 1 267.8850 dtn1_10 ADB2 135 N dtn1_10->ADB2
556.1000 M156 1553518 1 270.4216 dtn1_10 ADB2 135 N dtn1_10->ADB2
561.5000 M273 1344875 1 40.4532 dtn1_10 ADB2 139 N dtn1_10->ADB2
566.4000 M167 1217958 1 251.9183 dtn1_10 ADB2 135 N dtn1_10->ADB2
577.5000 M276 2750272 1 54.3475 dtn1_10 ADB2 139 N dtn1_10->ADB2
584.6000 M218 1755220 1 165.4093 dtn1_10 ADB2 137 N dtn1_10->ADB2
596.3000 M297 2917135 1 27.2846 dtn1_10 ADB2 139 N dtn1_10->ADB2
604.0000 M307 1918174 1 21.6045 dtn1_10 ADB2 139 N dtn1_10->ADB2
612.4000 M235 2079901 1 157.0424 dtn1_10 ADB2 137 N dtn1_10->ADB2
617.1000 M212 1165139 1 211.0699 dtn1_10 ADB2 136 N dtn1_10->ADB2
626.7000 M258 2399386 1 131.3771 dtn1_10 ADB2 137 N dtn1_10->ADB2
635.9000 M287 2282491 1 82.3125 dtn1_10 ADB2 138 N dtn1_10->ADB2
644.2000 M207 2051649 1 248.9642 dtn1_10 ADB2 135 N dtn1_10->ADB2
653.5000 M174 2307078 1 325.3532 dtn1_10 ADB2 134 N dtn1_10->ADB2
664.3000 M333 2698634 1 31.4984 dtn1_10 ADB2 139 N dtn1_10->ADB2
